phase,steps,scheme,ppl_512,ppl_1024,ppl_2048,gamma_min,gamma_max
screen,1200,learned,12.2413,12.595,12.7574,,
screen,1200,alibi,6.1509,6.1637,6.0792,,
screen,1200,sliding,12.5363,12.6579,12.7329,,
screen,1200,holo_ladder,5.887,5.8892,5.7908,0.00143,0.14956
screen,1200,holo_tiny,6.9892,6.9739,6.9111,0.03142,0.03178
screen,1200,holo_curv,11.329,11.5081,11.6921,0.00176,0.15249
screen,1200,holo_ladder_pos,5.9553,5.9637,5.8749,0.00142,0.14887
screen,1200,comet512_fixed,12.2125,12.2287,12.2182,0.00781,0.00781
screen,1200,comet512_learn,12.4354,12.4434,12.4773,0.01115,0.01186
screen,1200,comet256_learn,11.9642,11.9682,11.9497,0.01183,0.01218
screen,1200,comet1024_learn,12.1032,12.1288,12.1483,0.01025,0.01118
screen,1200,comet_perhead_W,11.669,11.7103,11.6834,0.00963,0.01268
screen,1200,comet512_soft,12.1506,12.1684,12.1766,0.01121,0.01175
full,6000,holo_ladder,13.8984,14.9617,14.8784,0.00505,0.21024
full,6000,holo_ladder_pos,12.72,13.5451,13.3026,0.00449,0.20952
full,6000,holo_tiny,13.6385,14.3524,14.0675,0.06003,0.06283
full,6000,learned,4.277,12.1607,20.6294,,
full,6000,sliding,4.6219,8.6587,13.0274,,
